Tiepoint_ID ,height,time_1,doppler_1,range_1,scpos_inert_1_x,scpos_inert_1_y,scpos_inert_1_z,scvel_inert_1_x,scvel_inert_1_y,scvel_inert_1_z,lookvec_inert_1_x,lookvec_inert_1_y,lookvec_inert_1_z,wavelength_1,time_2,doppler_2,range_2,scpos_inert_2_x,scpos_inert_2_y,scpos_inert_2_z,scvel_inert_2_x,scvel_inert_2_y,scvel_inert_2_z,lookvec_inert_2_x,lookvec_inert_2_y,lookvec_inert_2_z,wavelength_2
      t41s01t43s05_usgs2_390,  0.000, 256973215.010,  315137.87,    1833.61,    2144.81,    1568.83,   -3322.17,  1.609918, -5.403663,  2.727961,    -485.68,    -444.93,    1705.14,2.1756912133e-05, 263852293.478,  547084.48,   36150.26,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t41s01t43s05_usgs2_391,  0.000, 256973199.470,  323977.71,    1873.09,    2119.76,    1652.78,   -3364.51,  1.613712, -5.400796,  2.722011,    -489.40,    -491.47,    1744.67,2.1756912133e-05, 263852293.478,  547044.76,   36112.64,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t41s01t43s05_usgs2_392,  0.000, 256973191.640,  328516.07,    1893.22,    2107.12,    1695.06,   -3385.82,  1.615555, -5.399336,  2.719067,    -490.67,    -515.36,    1765.31,2.1756920284e-05, 263852293.478,  547021.19,   36095.43,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t41s01t43s05_usgs2_393,  0.000, 256973192.765,  326906.61,    1907.82,    2108.93,    1688.99,   -3382.76,  1.615293, -5.399546,  2.719488,    -490.52,    -511.88,    1762.33,2.1756920284e-05, 263852293.478,  547064.99,   36102.79,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t41s01t43s06_usgs2_400,  0.000, 256973215.010,  315111.15,    1833.64,    2144.81,    1568.83,   -3322.17,  1.609918, -5.403663,  2.727961,    -485.68,    -444.93,    1705.14,2.1756912133e-05, 263852293.478,  547084.69,   36148.84,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t43s06t41s01_usgs2_401,  0.000, 263852293.478,  547058.74,   36123.04,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05, 256973203.910,  321610.62,    1862.95,    2126.92,    1628.80,   -3352.42,  1.612646, -5.401620,  2.723696,    -488.36,    -478.00,    1733.35,2.1756912133e-05
      t44s01t43s07_usgs2_422,  0.000, 265234290.622,  426676.46,    4058.28,    4503.20,    4015.32,   -2435.97, -0.550722, -5.141605,  3.319774,   -2828.08,   -2728.18,     963.62,2.1757077842e-05, 263852293.478,  547188.51,   36059.72,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t44s01t43s07_usgs2_423,  0.000, 265234225.454,  432988.36,    4356.16,    4538.80,    4350.12,   -2652.15, -0.541774, -5.133326,  3.314740,   -3004.46,   -2986.03,    1097.89,2.1757078627e-05, 263852293.478,  547062.49,   35926.74,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t44s01t43s07_usgs2_424,  0.000, 265234229.699,  432641.93,    4336.89,    4536.50,    4328.32,   -2638.08, -0.542321, -5.133849,  3.315059,   -2992.50,   -2968.96,    1089.27,2.1757078627e-05, 263852293.478,  547070.68,   35934.78,    1514.91,   31662.98,  -20832.26,  0.341622, -4.884491,  3.395311,   -3559.68,  -30099.32,   20899.53,2.1756015647e-05
      t43s01t43s07_usgs2_426, -0.775, 263857677.562,  443899.09,    4093.68,    3305.80,    5152.49,   -2416.84,  0.283361, -5.050518,  3.490630,   -2146.04,   -3341.20,    1000.92,2.1757118023e-05, 263857677.562,  443866.73,    4093.63,    3305.80,    5152.49,   -2416.84,  0.283361, -5.050518,  3.490630,   -2146.04,   -3341.20,    1000.92,2.1757118023e-05
